Date;Bitcoin;DeltaLogBit;Ethereum;DeltaLogEth;S&P500;GoTrend(E);GoTrend(B);Gold;Inflation;VIX;M2;Close
2015-08-10;258,506989;-0,010909601;1,56603;0,348526691;2091,69;1;2;1090,05;1,69;12,98;12064,7;42,5
2015-08-17;228,169006;-0,054215639;1,35259;-0,063633905;2089,5;1;2;1116,29;1,62;13,33;12097,8;40,450001
2015-08-24;228,761002;0,00112534;1,31927;-0,010832486;2015,27;0;2;1136,63;1,55;23,39;12042,4;45,220001
2015-08-31;239,839996;0,020539618;1,29583;-0,007785657;1951,37;0;1;1135,663;1,58;29,38;12077,4;46,049999
2015-09-07;230,511993;-0,017228083;0,936003;-0,141270789;1933,77;0;2;1131,59;1,55;27,73;12162;44,630001
2015-09-14;231,212006;0,001316856;0,938445;0,001131584;1955,56;1;2;1113,05;1,57;24,59;12188,2;44,68
2015-09-21;232,757004;0,002892377;0,720839;-0,114570549;1977,72;0;2;1121,25;1,56;21,49;12134,6;45,700001
2015-09-28;238,259003;0,010146562;0,668379;-0,032815479;1925,37;1;2;1134,27;1,47;23,86;12075,1;45,540001
2015-10-05;247,050003;0,015735543;0,634963;-0,022274377;1933,27;1;2;1120,39;1,45;22,87;12172,2;49,630001
2015-10-12;261,643005;0,024924265;0,517734;-0,088641733;2004,31;0;2;1148,76;1,55;17,69;12161,7;47,259998
2015-10-19;283,679993;0,035119579;0,616039;0,075501521;2017,71;0;2;1171,89;1,49;16,36;12168,5;44,599998
2015-10-26;325,431;0,059630213;1,05567;0,233919973;2049,71;1;2;1170,92;1,48;15,33;12134;46,59
2015-11-02;373,368011;0,059678185;1,02747;-0,01175903;2085,81;1;4;1155,96;1,51;14,72;12250,4;44,290001
2015-11-09;320,165985;-0,066761916;0,906368;-0,054464586;2097,96;1;2;1111,9;1,58;15,19;12293;40,740002
2015-11-16;324,536011;0,005887704;0,968018;0,028578869;2055,78;1;2;1089,39;1,53;17,59;12324,6;40,389999
