Date;Bitcoin;Ethereum;S&P500;GoTrend(E);GoTrend(B);Gold;Inflation;VIX;M2;Close
2015-08-03;265,083008;0,701897;2102,47;1;2;1090,210;1,75;12,55;12036,0;43,869999
2015-08-10;258,506989;1,56603;2091,69;1;2;1090,050;1,69;12,98;12064,7;42,5
2015-08-17;228,169006;1,35259;2089,50;1;2;1116,290;1,62;13,33;12097,8;40,450001
2015-08-24;228,761002;1,31927;2015,27;0;2;1136,630;1,55;23,39;12042,4;45,220001
2015-08-31;239,839996;1,29583;1951,37;0;1;1135,663;1,58;29,38;12077,4;46,049999
2015-09-07;230,511993;0,936003;1933,77;0;2;1131,590;1,55;27,73;12162,0;44,630001
2015-09-14;231,212006;0,938445;1955,56;1;2;1113,050;1,57;24,59;12188,2;44,68
2015-09-21;232,757004;0,720839;1977,72;0;2;1121,250;1,56;21,49;12134,6;45,700001
2015-09-28;238,259003;0,668379;1925,37;1;2;1134,270;1,47;23,86;12075,1;45,540001
2015-10-05;247,050003;0,634963;1933,27;1;2;1120,390;1,45;22,87;12172,2;49,630001
2015-10-12;261,643005;0,517734;2004,31;0;2;1148,760;1,55;17,69;12161,7;47,259998
2015-10-19;283,679993;0,616039;2017,71;0;2;1171,890;1,49;16,36;12168,5;44,599998
2015-10-26;325,431;1,05567;2049,71;1;2;1170,920;1,48;15,33;12134,0;46,59
2015-11-02;373,368011;1,02747;2085,81;1;4;1155,960;1,51;14,72;12250,4;44,290001
2015-11-09;320,165985;0,906368;2097,96;1;2;1111,900;1,58;15,19;12293,0;40,740002
2015-11-16;324,536011;0,968018;2055,78;1;2;1089,390;1,53;17,59;12324,6;40,389999
2015-11-23;371,294006;0,878614;2078,20;0;2;1075,580;1,57;16,75;12271,9;41,709999
2015-11-30;388,78299;0,8355;2087,13;1;2;1067,200;1,61;15,59;12305,7;39,970001
2015-12-07;433,755005;0,952884;2080,10;1;3;1066,490;1,58;15,87;12370,4;35,619999
2015-12-14;442,684998;0,903885;2039,55;1;2;1071,470;1,50;20,73;12408,3;34,73
2015-12-21;422,822998;0,856365;2037,01;0;2;1065,430;1,46;19,43;12463,4;38,099998
2015-12-28;430,010986;0,971905;2055,19;0;2;1073,467;1,50;16,21;12454,6;37,040001
2016-01-04;447,990997;0,999231;2049,58;0;2;1067,500;1,54;18,07;12487,9;33,16
2016-01-11;382,299011;1,32747;1959,15;1;2;1092,000;1,50;23,25;12542,9;29,42
2016-01-18;402,971008;2,1412;1907,78;1;2;1087,790;1,41;24,67;12498,9;32,189999
2016-01-25;368,766998;2,30604;1878,73;1;2;1095,670;1,33;25,36;12413,7;33,619999
2016-02-01;376,619995;2,96434;1911,91;1;2;1117,020;1,40;21,64;12456,6;30,889999
2016-02-08;407,230011;5,23973;1892,90;3;2;1146,350;1,33;22,97;12469,2;29,440001
2016-02-15;438,798004;4,65362;1849,48;2;2;1208,700;1,21;26,59;12535,6;29,639999
2016-02-22;433,503998;6,46835;1920,70;2;2;1208,790;1,27;21,59;12522,8;32,779999
2016-02-29;407,707001;11,3829;1936,61;3;2;1230,310;1,38;20,23;12550,9;35,919998
2016-03-07;414,065002;14,475;1991,99;4;2;1250,080;1,50;17,14;12649,1;38,5
2016-03-14;413,755005;10,3198;1999,98;4;2;1259,680;1,50;17,70;12673,0;39,439999
2016-03-21;426,765015;10,4192;2036,98;3;2;1247,010;1,58;14,82;12675,2;39,459999
2016-03-28;420,903992;11,6183;2039,88;4;2;1233,483;1,59;14,77;12725,6;36,790001
2016-04-04;421,563995;8,93634;2063,52;2;2;1227,070;1,63;13,71;12816,0;39,720001
2016-04-11;427,398987;9,3091;2048,67;2;2;1235,400;1,58;15,46;12830,5;40,360001
2016-04-18;458,554993;8,00135;2080,40;2;2;1242,540;1,56;13,88;12841,9;43,73
2016-04-25;451,875;8,8465;2094,81;2;2;1244,670;1,63;13,55;12684,8;45,919998
2016-05-02;458,548004;9,48293;2081,88;2;3;1252,588;1,69;14,67;12701,2;44,66
2016-05-09;457,567993;9,96235;2056,19;2;2;1282,110;1,62;15,37;12721,7;46,209999
2016-05-16;439,322998;14,2861;2065,25;4;2;1272,220;1,60;14,49;12737,6;47,75
2016-05-23;526,232971;12,3504;2047,05;5;2;1260,330;1,58;15,77;12691,0;49,330002
2016-05-30;574,97699;13,975;2088,94;4;3;1227,825;1,57;13,72;12678,3;48,619999
2016-06-06;672,783997;15,7437;2102,02;3;2;1218,760;1,54;13,83;12791,7;49,07
2016-06-13;763,781006;12,2342;2104,37;7;4;1260,510;1,54;16,15;12831,2;47,98
2016-06-20;629,367004;13,8502;2075,86;6;4;1287,230;1,44;19,56;12800,0;47,639999
2016-06-27;658,664001;11,7202;2065,12;3;3;1290,000;1,43;21,30;12729,8;48,990002
2016-07-04;649,359985;10,9476;2077,17;4;3;1325,450;1,40;16,45;12860,0;45,41
2016-07-11;679,458984;11,1587;2110,65;3;2;1359,240;1,42;14,41;12858,7;45,950001
2016-07-18;661,284973;12,7495;2159,39;4;2;1335,090;1,47;12,90;12860,9;44,189999
2016-07-25;624,68103;11,8759;2169,10;5;2;1323,600;1,49;12,27;12795,6;41,599998
2016-08-01;592,690002;10,9116;2170,05;4;3;1332,940;1,49;12,58;12888,1;41,799999
2016-08-08;570,473022;11,1948;2169,77;2;2;1353,260;1,48;12,31;12962,2;44,490002
2016-08-15;581,307983;11,1792;2183,44;1;2;1341,040;1,46;11,75;12967,3;48,52
2016-08-22;573,911987;10,9293;2182,78;2;2;1344,020;1,47;11,97;12938,7;47,639999
2016-08-29;608,633972;11,6799;2176,85;3;2;1331,300;1,48;13,21;12920,5;44,439999
2016-09-05;606,718994;11,6384;2174,48;2;2;1315,760;1,46;13,00;13030,9;45,880001
2016-09-12;609,874023;12,4312;2168,16;2;2;1337,990;1,51;13,83;13073,6;43,029999
2016-09-19;600,825989;13,1009;2135,67;2;2;1320,220;1,50;16,64;13030,6;44,48
2016-09-26;610,892029;13,1997;2158,17;2;2;1327,930;1,53;13,61;12937,9;48,240002
2016-10-03;616,752014;12,0537;2162,38;2;2;1325,610;1,57;13,27;13049,5;49,810001
2016-10-10;641,630981;11,9516;2157,68;3;2;1273,150;1,63;13,26;13101,5;50,349998
2016-10-17;657,070984;12,036;2133,59;2;2;1255,790;1,65;16,06;13121,5;50,849998
2016-10-24;701,864014;11,1828;2143,54;2;2;1266,310;1,67;13,96;13032,1;48,700001
2016-10-31;711,521973;10,8735;2133,64;2;2;1270,520;1,72;15,26;13083,0;44,07
2016-11-07;702,031006;10,1015;2103,00;2;2;1292,350;1,70;20,24;13165,8;43,41
2016-11-14;731,026001;9,57928;2159,79;2;2;1269,540;1,82;15,30;13211,3;45,689999
